Id,spearman_R,Slug,Title,Subtitle,HostSegmentTitle,ForumId,OrganizationId,CompetitionTypeId,HostName,EnabledDate,DeadlineDate,ProhibitNewEntrantsDeadlineDate,TeamMergerDeadlineDate,TeamModelDeadlineDate,ModelSubmissionDeadlineDate,FinalLeaderboardHasBeenVerified,HasKernels,OnlyAllowKernelSubmissions,HasLeaderboard,LeaderboardPercentage,LeaderboardDisplayFormat,EvaluationAlgorithmAbbreviation,EvaluationAlgorithmName,EvaluationAlgorithmDescription,EvaluationAlgorithmIsMax,ValidationSetName,ValidationSetValue,MaxDailySubmissions,NumScoredSubmissions,MaxTeamSize,BanTeamMergers,EnableTeamModels,EnableSubmissionModelHashes,EnableSubmissionModelAttachments,RewardType,RewardQuantity,NumPrizes,UserRankMultiplier,CanQualifyTiers,TotalTeams,TotalCompetitors,TotalSubmissions
14774,0.88296,aptos2019-blindness-detection,APTOS 2019 Blindness Detection,Detect diabetic retinopathy to stop blindness before it's too late,Featured,260503.0,2931.0,1,,2019-06-28 01:15:11,2019-09-07 23:59:00,08/29/2019 23:59:00,08/29/2019 23:59:00,,,True,True,True,True,15,0.0,QuadraticWeightedKappa,QuadraticWeightedKappa,Quadratic Weighted Kappa,True,,,5,2,5.0,False,False,False,False,USD,50000.0,4,1.0,True,2944,3523,60711
14652,0.626947,siim-acr-pneumothorax-segmentation,SIIM-ACR Pneumothorax Segmentation,Identify Pneumothorax disease in chest x-rays,Featured,255914.0,2734.0,1,,2019-06-24 22:16:24,2019-09-04 23:59:00,08/21/2019 23:59:00,08/21/2019 23:59:00,08/28/2019 23:59:00,,True,True,False,True,0,0.0,SIIMDice,,SIIM Mean Dice Coefficient,True,,,5,2,5.0,False,True,False,False,USD,30000.0,10,1.0,True,352,540,1983
14313,0.997481,champs-scalar-coupling,Predicting Molecular Properties,Can you measure the magnetic interactions between a pair of atoms?,Featured,220595.0,2738.0,1,,2019-05-29 20:12:00,2019-08-28 23:59:00,08/21/2019 23:59:00,08/21/2019 23:59:00,09/13/2019 23:59:59,,True,True,False,True,28,0.0,GroupMeanLogMAE,Group Mean Log MAE,"Log of the Mean Absolute Error, calculated for each group, and then averaged across groups",False,,,5,2,5.0,False,True,False,False,USD,30000.0,5,1.0,True,2749,3308,47840
15062,-0.112803,generative-dog-images,Generative Dog Images,Experiment with creating puppy pics,Research,261069.0,4.0,1,,2019-06-28 17:42:00,2019-08-28 19:23:00,,,09/20/2019 00:00:00,,True,True,True,True,50,0.0,PostProcessorKernel,PostProcessorKernel,Passing Kernels evaluation results to Metrics,False,,,3,2,5.0,False,True,False,False,USD,10000.0,5,1.0,True,924,1032,11196
9933,0.160542,two-sigma-financial-news,Two Sigma: Using News to Predict Stock Movements,Use news analytics to predict stock price performance,Featured,65064.0,274.0,1,,2018-09-25 17:01:54,2019-08-05 23:59:00,01/02/2019 23:59:00,01/02/2019 23:59:00,09/30/2019 23:59:00,,True,True,True,True,0,0.0,TwoSigmaNews,Two Sigma News,Sharpe Ratio-like measure of returns,True,,,5,2,3.0,False,True,False,False,USD,100000.0,7,1.0,True,666,816,1144
12500,-0.461662,jigsaw-unintended-bias-in-toxicity-classification,Jigsaw Unintended Bias in Toxicity Classification,Detect toxicity across a diverse range of conversations,Featured,162759.0,1218.0,1,,2019-03-29 17:23:55,2019-07-18 19:35:00,06/19/2019 23:59:00,06/19/2019 23:59:00,08/16/2019 00:00:00,,True,True,True,True,0,0.0,JigsawBiasAUC,Jigsaw Bias AUC,Average of 4 different AUC metrics to minimize unintended bias in model subgroup predictions,True,,,5,2,5.0,False,True,False,False,USD,65000.0,10,1.0,True,2646,3141,4397
14239,0.900992,instant-gratification,Instant Gratification,A synchronous Kernels-only competition,Featured,207472.0,4.0,1,,2019-05-17 21:04:31,2019-06-20 23:59:00,,,,,True,True,True,True,50,0.0,AUC,Area Under Receiver Operating Characteristic Curve,"Measures discrimination. Calculates how well an algorithm separates true positives from false positives. Overall good metric for classification problems. Has range [0.5, 1.0]",True,,,10,2,5.0,False,False,False,False,USD,5000.0,3,1.0,True,1832,2035,33897
10700,-0.626507,freesound-audio-tagging-2019,Freesound Audio Tagging 2019,Automatically recognize sounds and apply tags of varying natures,Research,167388.0,1453.0,1,,2019-04-04 15:35:34,2019-06-17 22:22:00,06/03/2019 23:59:00,06/03/2019 23:59:00,07/26/2019 00:00:00,,True,True,True,True,0,0.0,WeightedLabelRankingAveragePrecision,Weighted Label Ranking Average Precision,"LRAP is the average over each ground truth label assigned to each sample, of the ratio of true vs. total labels with lower score.",True,,,2,2,5.0,False,True,False,False,USD,5000.0,3,1.0,True,408,508,655
13032,0.998139,imaterialist-fashion-2019-FGVC6,iMaterialist (Fashion) 2019 at FGVC6,Fine-grained segmentation task for fashion and apparel,Research,185233.0,2567.0,1,,2019-04-25 01:20:30,2019-06-10 23:59:00,06/03/2019 23:59:00,06/03/2019 23:59:00,06/30/2019 00:00:00,,True,True,False,True,35,0.0,IntersectionOverUnionObjectSegmentationWithClassification,IntersectionOverUnionObjectSegmentationWithClassification,Evaluates multi-object segmentation and classification quality using average precision,True,,,5,2,5.0,False,True,False,False,Kudos,0.0,0,1.0,True,241,298,3494
13251,-0.434085,imet-2019-fgvc6,iMet Collection 2019 - FGVC6,Recognize artwork attributes from The Metropolitan Museum of Art,Research,161849.0,2567.0,1,,2019-03-28 15:05:58,2019-06-10 22:09:06,05/28/2019 23:59:00,05/28/2019 23:59:00,06/30/2019 00:00:00,,True,True,True,True,0,0.0,MeanFScoreBeta,Mean F-Score Beta,"Used for categorization when there are many categories per row, Mean F-score across the rows.",True,,,5,2,5.0,False,True,False,False,Kudos,0.0,3,1.0,True,446,565,774
11838,0.990668,landmark-retrieval-2019,Google Landmark Retrieval 2019,"Given an image, can you find all of the same landmarks in a dataset?",Research,170441.0,855.0,1,,2019-04-08 15:06:41,2019-06-03 23:59:00,05/27/2019 23:59:00,05/27/2019 23:59:00,07/05/2019 00:00:00,,True,True,False,True,0,0.0,MAP@{K},,Mean Average Precision at K,True,,,5,2,5.0,False,True,False,False,USD,25000.0,3,1.0,True,110,165,946
