"Id","Slug","Title","Subtitle","HostSegmentTitle","ForumId","OrganizationId","CompetitionTypeId","HostName","EnabledDate","DeadlineDate","ProhibitNewEntrantsDeadlineDate","TeamMergerDeadlineDate","TeamModelDeadlineDate","ModelSubmissionDeadlineDate","FinalLeaderboardHasBeenVerified","HasKernels","OnlyAllowKernelSubmissions","HasLeaderboard","LeaderboardPercentage","LeaderboardDisplayFormat","EvaluationAlgorithmAbbreviation","EvaluationAlgorithmName","EvaluationAlgorithmDescription","EvaluationAlgorithmIsMax","ValidationSetName","ValidationSetValue","MaxDailySubmissions","NumScoredSubmissions","MaxTeamSize","BanTeamMergers","EnableTeamModels","EnableSubmissionModelHashes","EnableSubmissionModelAttachments","RewardType","RewardQuantity","NumPrizes","UserRankMultiplier","CanQualifyTiers","TotalTeams","TotalCompetitors","TotalSubmissions"
"2408","Eurovision2010","Forecast Eurovision Voting","This competition requires contestants to forecast the voting for this year's Eurovision Song Contest in Norway on May 25th, 27th and 29th.","Featured","2","","1","","04/07/2010 07:57:43","05/25/2010 18:00:00","","","","","True","True","False","False","10","","AE","Absolute Error","Total sum of absolute value of each individual error.","False","","","5","5","","False","False","False","False","USD","1000.0000","1","1","False","22","25","22"
"8910","blg-454e-term-project-competition","BLG 454E Term Project Competition","ITU Computer and Informatics Faculty, BLG 454E Learning From Data, Spring 2018 Term Project","InClass","24780","","1","","03/17/2018 19:08:56","05/25/2018 21:59:00","","","","","True","True","False","True","50","","AE","Absolute Error","Total sum of absolute value of each individual error.","False","","","9","2","","False","False","False","False","","0.0000","0","0","False","29","65","658"
"8916","test-xx","test-xx","this is a test","InClass","24867","","1","","03/18/2018 11:52:38","03/30/2018 23:59:00","","","","","True","True","False","True","30","","RMSE","Root Mean Squared Error","Square root of the average of the squared errors.","False","","","10","2","","False","False","False","False","","0.0000","0","0","False","0","0","7"
"8933","recsys-20181-cfmr","RecSys 2018/1: Collaborative Movie Recommendation","Predict users' ratings for movies","InClass","25077","","1","","03/19/2018 15:34:50","04/17/2018 02:59:00","","","","","True","True","False","True","48","","RMSE","Root Mean Squared Error","Square root of the average of the squared errors.","False","","","1000","2","","True","False","False","False","","0.0000","0","0","False","27","28","737"
"8906","data-challenge-1","Data Challenge","Predict the final year grade ?","InClass","24719","","1","","03/17/2018 09:17:16","03/16/2018 23:59:00","","","","","True","True","False","True","29","","RMSE","Root Mean Squared Error","Square root of the average of the squared errors.","False","","","2","2","","False","False","False","False","","0.0000","0","0","False","0","0","0"
"8970","predictive-modeling-nmims-competition","Predictive Modeling -NMIMS -  Competition","PM Competition for NMIMS 5th Year BIA Students","InClass","25413","","1","","03/21/2018 09:34:20","04/19/2018 23:59:00","","","","","True","True","False","True","30","","RMSE","Root Mean Squared Error","Square root of the average of the squared errors.","False","","","20","2","","False","False","False","False","","0.0000","0","0","False","15","44","123"
"8991","fxx-test","This is MY-homework-test-2018","This is a in-class competition of linear regression.","InClass","25537","","1","","03/22/2018 05:18:25","03/23/2018 23:59:00","","","","","True","True","False","True","30","","RMSE","Root Mean Squared Error","Square root of the average of the squared errors.","False","","","2","2","","True","False","False","False","","0.0000","0","0","False","1","1","2"
"9010","house-price-predict","House price predict","Predict house price for teamer practising sgd","InClass","25710","","1","","03/23/2018 09:08:30","06/22/2018 23:59:00","","","","","True","True","False","True","30","","RMSE","Root Mean Squared Error","Square root of the average of the squared errors.","False","","","10","2","","False","False","False","False","","0.0000","0","0","False","20","37","141"
"9121","airbnblala","How much for your Airbnb?","Use renter information, property characteristics and reviews to predict rental price.","InClass","28904","","1","","04/11/2018 17:49:41","04/30/2018 23:30:00","","","","","True","True","False","True","50","","RMSE","Root Mean Squared Error","Square root of the average of the squared errors.","False","","","3","2","","True","False","False","False","","0.0000","0","0","False","49","49","369"
"9129","ac761-1-uiuc","AC761_1 (UIUC)","Revenue Prediction Student Competition","InClass","26890","","1","","03/30/2018 17:16:50","04/16/2018 04:59:00","","","","","True","True","False","True","100","","RMSE","Root Mean Squared Error","Square root of the average of the squared errors.","False","","","10","9999","","True","False","False","False","","0.0000","0","0","False","4","4","23"
